					
SDS 2.3	AQ Results				
Filename	FRANCESCO G. 8-05-13				
PlateID					
Assay Type	Absolute Quantification				
Run DateTime	41402,6984375				
Operator					
ThermalCycleParams					
					
Sample Information					
					
Well	Sample Name	Detector Name	Reporter	Task	Ct
112	BLANK	EGFR	SYBR	NTC	Undetermined
113	BLANK	EGFR	SYBR	NTC	Undetermined
114	BLANK	EGFR	SYBR	NTC	Undetermined
367	BT474	EGFR	SYBR	Unknown	25,834
368	BT474	EGFR	SYBR	Unknown	25,764
369	BT474	EGFR	SYBR	Unknown	25,914
7	CRC0516LMX0B01001TUMD01000	EGFR	SYBR	Unknown	27,911
8	CRC0516LMX0B01001TUMD01000	EGFR	SYBR	Unknown	28,388
9	CRC0516LMX0B01001TUMD01000	EGFR	SYBR	Unknown	28,007
31	CRC0516NLH0000000000D01000	EGFR	SYBR	Unknown	24,860
32	CRC0516NLH0000000000D01000	EGFR	SYBR	Unknown	24,910
33	CRC0516NLH0000000000D01000	EGFR	SYBR	Unknown	24,843
55	CRC0525LMX0A01001TUMD01000	EGFR	SYBR	Unknown	26,343
56	CRC0525LMX0A01001TUMD01000	EGFR	SYBR	Unknown	26,670
57	CRC0525LMX0A01001TUMD01000	EGFR	SYBR	Unknown	26,734
79	CRC0525NLH0000000000D01000	EGFR	SYBR	Unknown	25,639
80	CRC0525NLH0000000000D01000	EGFR	SYBR	Unknown	25,656
81	CRC0525NLH0000000000D01000	EGFR	SYBR	Unknown	25,787
103	CRC0536LMX0B01001TUMD01000	EGFR	SYBR	Unknown	26,442
104	CRC0536LMX0B01001TUMD01000	EGFR	SYBR	Unknown	26,669
105	CRC0536LMX0B01001TUMD01000	EGFR	SYBR	Unknown	26,692
127	CRC0536NLH0000000000D01000	EGFR	SYBR	Unknown	24,066
128	CRC0536NLH0000000000D01000	EGFR	SYBR	Unknown	23,980
129	CRC0536NLH0000000000D01000	EGFR	SYBR	Unknown	23,903
151	CRC0537LMX0A01001TUMD01000	EGFR	SYBR	Unknown	25,392
152	CRC0537LMX0A01001TUMD01000	EGFR	SYBR	Unknown	25,570
153	CRC0537LMX0A01001TUMD01000	EGFR	SYBR	Unknown	25,455
175	CRC0537NLH0000000000D01000	EGFR	SYBR	Unknown	24,868
176	CRC0537NLH0000000000D01000	EGFR	SYBR	Unknown	24,856
177	CRC0537NLH0000000000D01000	EGFR	SYBR	Unknown	24,920
199	CRC0539LMX0A01001TUMD01000	EGFR	SYBR	Unknown	28,669
200	CRC0539LMX0A01001TUMD01000	EGFR	SYBR	Unknown	28,808
201	CRC0539LMX0A01001TUMD01000	EGFR	SYBR	Unknown	28,848
223	CRC0539NLH0000000000D01000	EGFR	SYBR	Unknown	24,300
224	CRC0539NLH0000000000D01000	EGFR	SYBR	Unknown	23,834
225	CRC0539NLH0000000000D01000	EGFR	SYBR	Unknown	23,357
247	CRC0542LMX0B01001TUMD01000	EGFR	SYBR	Unknown	24,796
248	CRC0542LMX0B01001TUMD01000	EGFR	SYBR	Unknown	24,773
249	CRC0542LMX0B01001TUMD01000	EGFR	SYBR	Unknown	
271	CRC0542NLH0000000000D01000	EGFR	SYBR	Unknown	23,367
272	CRC0542NLH0000000000D01000	EGFR	SYBR	Unknown	23,339
273	CRC0542NLH0000000000D01000	EGFR	SYBR	Unknown	23,688
295	CRC0544LMX0A01001TUMD01000	EGFR	SYBR	Unknown	26,060
296	CRC0544LMX0A01001TUMD01000	EGFR	SYBR	Unknown	26,438
297	CRC0544LMX0A01001TUMD01000	EGFR	SYBR	Unknown	26,358
319	CRC0544NLH0000000000D01000	EGFR	SYBR	Unknown	25,325
